string,dom_number,pmt_number,dom_x,dom_y,dom_z,dom_time,dom_type,width,rde,pmt_area,pmt_dir_x,pmt_dir_y,pmt_dir_z
1.0,1.0,0.0,-256.1400146484375,-521.0800170898438,496.0299987792969,13716.542649445604,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,2.0,0.0,-256.1400146484375,-521.0800170898438,479.010009765625,8782.00256972584,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,3.0,0.0,-256.1400146484375,-521.0800170898438,461.989990234375,9251.419408387055,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,4.0,0.0,-256.1400146484375,-521.0800170898438,444.9700012207031,8989.781966522669,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,5.0,0.0,-256.1400146484375,-521.0800170898438,427.95001220703125,9352.769266393387,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,6.0,0.0,-256.1400146484375,-521.0800170898438,410.92999267578125,10951.775173029637,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,7.0,0.0,-256.1400146484375,-521.0800170898438,393.9100036621094,6531.265455763039,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,8.0,0.0,-256.1400146484375,-521.0800170898438,376.8800048828125,6389.898046310188,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,9.0,0.0,-256.1400146484375,-521.0800170898438,359.8599853515625,12573.373697959569,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,10.0,0.0,-256.1400146484375,-521.0800170898438,342.8399963378906,6199.1006349011295,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,11.0,0.0,-256.1400146484375,-521.0800170898438,325.82000732421875,15158.41621070283,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,12.0,0.0,-256.1400146484375,-521.0800170898438,308.79998779296875,13513.768019352194,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,13.0,0.0,-256.1400146484375,-521.0800170898438,291.7799987792969,13661.241829295062,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
